REPORTE DE ANÁLISIS LÉXICO SIMPLE
==================================
Fecha: 9/21/2025, 11:33:39 PM
Archivo: lexico_entry5.txt

TOKENS ENCONTRADOS
==================
No. | Texto         | Tipo             | Línea | Columna
------------------------------------------------------------
  1 | TORNEO        | Palabra Reservada |     1 |       1
  2 | {             | Símbolo          |     1 |       8
  3 | nombre        | Palabra Normal   |     2 |       3
  4 | :             | Símbolo          |     2 |       9
  5 | "Mega Copa Universitaria" | Texto            |     2 |      11
  6 | ,             | Símbolo          |     2 |      36
  7 | equipos       | Palabra Normal   |     3 |       3
  8 | :             | Símbolo          |     3 |      10
  9 | 4             | Número           |     3 |      12
 10 | ,             | Símbolo          |     3 |      13
 11 | sede          | Palabra Normal   |     4 |       3
 12 | :             | Símbolo          |     4 |       7
 13 | "El Salvador" | Texto            |     4 |       9
 14 | }             | Símbolo          |     5 |       1
 15 | EQUIPOS       | Palabra Reservada |     7 |       1
 16 | {             | Símbolo          |     7 |       9
 17 | equipo        | Palabra Normal   |     8 |       3
 18 | :             | Símbolo          |     8 |       9
 19 | "Leones Dorados" | Texto            |     8 |      11
 20 | [             | Símbolo          |     8 |      28
 21 | jugador       | Palabra Normal   |     9 |       5
 22 | :             | Símbolo          |     9 |      12
 23 | "Daniel Pérez" | Texto            |     9 |      14
 24 | [             | Símbolo          |     9 |      29
 25 | posicion      | Palabra Normal   |     9 |      30
 26 | :             | Símbolo          |     9 |      38
 27 | "DELANTERO"   | Texto            |     9 |      40
 28 | ,             | Símbolo          |     9 |      51
 29 | numero        | Palabra Normal   |     9 |      53
 30 | :             | Símbolo          |     9 |      59
 31 | 9             | Número           |     9 |      61
 32 | ,             | Símbolo          |     9 |      62
 33 | edad          | Palabra Normal   |     9 |      64
 34 | :             | Símbolo          |     9 |      68
 35 | 23            | Número           |     9 |      70
 36 | ]             | Símbolo          |     9 |      72
 37 | ,             | Símbolo          |     9 |      73
 38 | jugador       | Palabra Normal   |    10 |       5
 39 | :             | Símbolo          |    10 |      12
 40 | "Roberto López" | Texto            |    10 |      14
 41 | [             | Símbolo          |    10 |      30
 42 | posicion      | Palabra Normal   |    10 |      31
 43 | :             | Símbolo          |    10 |      39
 44 | "MEDIOCAMPO"  | Texto            |    10 |      41
 45 | ,             | Símbolo          |    10 |      53
 46 | numero        | Palabra Normal   |    10 |      55
 47 | :             | Símbolo          |    10 |      61
 48 | 8             | Número           |    10 |      63
 49 | ,             | Símbolo          |    10 |      64
 50 | edad          | Palabra Normal   |    10 |      66
 51 | :             | Símbolo          |    10 |      70
 52 | 22            | Número           |    10 |      72
 53 | ]             | Símbolo          |    10 |      74
 54 | ,             | Símbolo          |    10 |      75
 55 | jugador       | Palabra Normal   |    11 |       5
 56 | :             | Símbolo          |    11 |      12
 57 | "Santiago Ramírez" | Texto            |    11 |      14
 58 | [             | Símbolo          |    11 |      33
 59 | posicion      | Palabra Normal   |    11 |      34
 60 | :             | Símbolo          |    11 |      42
 61 | "DEFENSA"     | Texto            |    11 |      44
 62 | ,             | Símbolo          |    11 |      53
 63 | numero        | Palabra Normal   |    11 |      55
 64 | :             | Símbolo          |    11 |      61
 65 | 4             | Número           |    11 |      63
 66 | ,             | Símbolo          |    11 |      64
 67 | edad          | Palabra Normal   |    11 |      66
 68 | :             | Símbolo          |    11 |      70
 69 | 25            | Número           |    11 |      72
 70 | ]             | Símbolo          |    11 |      74
 71 | ,             | Símbolo          |    11 |      75
 72 | jugador       | Palabra Normal   |    12 |       5
 73 | :             | Símbolo          |    12 |      12
 74 | "Manuel Torres" | Texto            |    12 |      14
 75 | [             | Símbolo          |    12 |      30
 76 | posicion      | Palabra Normal   |    12 |      31
 77 | :             | Símbolo          |    12 |      39
 78 | "PORTERO"     | Texto            |    12 |      41
 79 | ,             | Símbolo          |    12 |      50
 80 | numero        | Palabra Normal   |    12 |      52
 81 | :             | Símbolo          |    12 |      58
 82 | 1             | Número           |    12 |      60
 83 | ,             | Símbolo          |    12 |      61
 84 | edad          | Palabra Normal   |    12 |      63
 85 | :             | Símbolo          |    12 |      67
 86 | 29            | Número           |    12 |      69
 87 | ]             | Símbolo          |    12 |      71
 88 | ]             | Símbolo          |    13 |       3
 89 | ,             | Símbolo          |    13 |       4
 90 | equipo        | Palabra Normal   |    14 |       3
 91 | :             | Símbolo          |    14 |       9
 92 | "Tiburones Azules" | Texto            |    14 |      11
 93 | [             | Símbolo          |    14 |      30
 94 | jugador       | Palabra Normal   |    15 |       5
 95 | :             | Símbolo          |    15 |      12
 96 | "Cristian Morales" | Texto            |    15 |      14
 97 | [             | Símbolo          |    15 |      33
 98 | posicion      | Palabra Normal   |    15 |      34
 99 | :             | Símbolo          |    15 |      42
100 | "DELANTERO"   | Texto            |    15 |      44
101 | ,             | Símbolo          |    15 |      55
102 | numero        | Palabra Normal   |    15 |      57
103 | :             | Símbolo          |    15 |      63
104 | 11            | Número           |    15 |      65
105 | ,             | Símbolo          |    15 |      67
106 | edad          | Palabra Normal   |    15 |      69
107 | :             | Símbolo          |    15 |      73
108 | 26            | Número           |    15 |      75
109 | ]             | Símbolo          |    15 |      77
110 | ,             | Símbolo          |    15 |      78
111 | jugador       | Palabra Normal   |    16 |       5
112 | :             | Símbolo          |    16 |      12
113 | "Alejandro Ruiz" | Texto            |    16 |      14
114 | [             | Símbolo          |    16 |      31
115 | posicion      | Palabra Normal   |    16 |      32
116 | :             | Símbolo          |    16 |      40
117 | "DEFENSA"     | Texto            |    16 |      42
118 | ,             | Símbolo          |    16 |      51
119 | numero        | Palabra Normal   |    16 |      53
120 | :             | Símbolo          |    16 |      59
121 | 3             | Número           |    16 |      61
122 | ,             | Símbolo          |    16 |      62
123 | edad          | Palabra Normal   |    16 |      64
124 | :             | Símbolo          |    16 |      68
125 | 28            | Número           |    16 |      70
126 | ]             | Símbolo          |    16 |      72
127 | ]             | Símbolo          |    17 |       3
128 | ,             | Símbolo          |    17 |       4
129 | equipo        | Palabra Normal   |    18 |       3
130 | :             | Símbolo          |    18 |       9
131 | "Águilas Negras" | Texto            |    18 |      11
132 | [             | Símbolo          |    18 |      28
133 | jugador       | Palabra Normal   |    19 |       5
134 | :             | Símbolo          |    19 |      12
135 | "Javier Gómez" | Texto            |    19 |      14
136 | [             | Símbolo          |    19 |      29
137 | posicion      | Palabra Normal   |    19 |      30
138 | :             | Símbolo          |    19 |      38
139 | "DELANTERO"   | Texto            |    19 |      40
140 | ,             | Símbolo          |    19 |      51
141 | numero        | Palabra Normal   |    19 |      53
142 | :             | Símbolo          |    19 |      59
143 | 7             | Número           |    19 |      61
144 | ,             | Símbolo          |    19 |      62
145 | edad          | Palabra Normal   |    19 |      64
146 | :             | Símbolo          |    19 |      68
147 | 24            | Número           |    19 |      70
148 | ]             | Símbolo          |    19 |      72
149 | ,             | Símbolo          |    19 |      73
150 | jugador       | Palabra Normal   |    20 |       5
151 | :             | Símbolo          |    20 |      12
152 | "Felipe Díaz" | Texto            |    20 |      14
153 | [             | Símbolo          |    20 |      28
154 | posicion      | Palabra Normal   |    20 |      29
155 | :             | Símbolo          |    20 |      37
156 | "PORTERO"     | Texto            |    20 |      39
157 | ,             | Símbolo          |    20 |      48
158 | numero        | Palabra Normal   |    20 |      50
159 | :             | Símbolo          |    20 |      56
160 | 12            | Número           |    20 |      58
161 | ,             | Símbolo          |    20 |      60
162 | edad          | Palabra Normal   |    20 |      62
163 | :             | Símbolo          |    20 |      66
164 | 27            | Número           |    20 |      68
165 | ]             | Símbolo          |    20 |      70
166 | ]             | Símbolo          |    21 |       3
167 | ,             | Símbolo          |    21 |       4
168 | equipo        | Palabra Normal   |    22 |       3
169 | :             | Símbolo          |    22 |       9
170 | "Pumas Blancos" | Texto            |    22 |      11
171 | [             | Símbolo          |    22 |      27
172 | jugador       | Palabra Normal   |    23 |       5
173 | :             | Símbolo          |    23 |      12
174 | "Oscar Hernández" | Texto            |    23 |      14
175 | [             | Símbolo          |    23 |      32
176 | posicion      | Palabra Normal   |    23 |      33
177 | :             | Símbolo          |    23 |      41
178 | "DELANTERO"   | Texto            |    23 |      43
179 | ,             | Símbolo          |    23 |      54
180 | numero        | Palabra Normal   |    23 |      56
181 | :             | Símbolo          |    23 |      62
182 | 10            | Número           |    23 |      64
183 | ,             | Símbolo          |    23 |      66
184 | edad          | Palabra Normal   |    23 |      68
185 | :             | Símbolo          |    23 |      72
186 | 20            | Número           |    23 |      74
187 | ]             | Símbolo          |    23 |      76
188 | ,             | Símbolo          |    23 |      77
189 | jugador       | Palabra Normal   |    24 |       5
190 | :             | Símbolo          |    24 |      12
191 | "Luis Ramírez" | Texto            |    24 |      14
192 | [             | Símbolo          |    24 |      29
193 | posicion      | Palabra Normal   |    24 |      30
194 | :             | Símbolo          |    24 |      38
195 | "MEDIOCAMPO"  | Texto            |    24 |      40
196 | ,             | Símbolo          |    24 |      52
